                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     45,                0.97162,                 1.0122,                 1.0634,                0.89627,                0.65381,                0.87381,                0.66676,                 1.1764,                  1.522,                 1.1883,             0.00071781,             0.00071781,             0.00071781
                     46,                0.93631,                 1.2034,                 1.1323,                0.71098,                0.78754,                0.86251,                0.59878,                 1.2675,                 1.8092,                 1.2293,             0.00072107,             0.00072107,             0.00072107
                     47,                0.94427,                 1.0223,                 1.1018,                0.71098,                0.78754,                0.86251,                0.59878,                 1.2675,                 1.8092,                 1.2293,             0.00072376,             0.00072376,             0.00072376
                     48,                 0.8382,                0.95773,                 1.0657,                0.83737,                0.66006,                0.86756,                0.60683,                 1.1888,                 1.5615,                 1.2146,             0.00072588,             0.00072588,             0.00072588
                     49,                 0.8733,                0.97013,                 1.0496,                0.83737,                0.66006,                0.86756,                0.60683,                 1.1888,                 1.5615,                 1.2146,             0.00072744,             0.00072744,             0.00072744
                     50,                0.90823,                0.98676,                  1.056,                0.88817,                0.77527,                0.90048,                0.65073,                 1.1677,                 1.3545,                 1.1731,             0.00072843,             0.00072843,             0.00072843
                     51,                0.91966,                0.98594,                 1.0759,                0.88817,                0.77527,                0.90048,                0.65073,                 1.1677,                 1.3545,                 1.1731,             0.00072164,             0.00072164,             0.00072164
                     52,                0.82584,                0.98062,                 1.0296,                0.86694,                0.75649,                0.91429,                0.70465,                 1.0786,                 1.2543,                 1.1559,              0.0007075,              0.0007075,              0.0007075
                     53,                0.89468,                0.97089,                 1.0824,                0.86694,                0.75649,                0.91429,                0.70465,                 1.0786,                 1.2543,                 1.1559,             0.00069335,             0.00069335,             0.00069335
                     54,                0.87734,                0.93802,                  1.034,                0.89952,                0.73963,                0.90717,                0.72843,                 1.0352,                 1.1967,                 1.1573,              0.0006792,              0.0006792,              0.0006792
                     55,                0.85718,                0.89075,                 1.0587,                0.89952,                0.73963,                0.90717,                0.72843,                 1.0352,                 1.1967,                 1.1573,             0.00066506,             0.00066506,             0.00066506
                     56,                0.90937,                0.97728,                 1.0787,                0.95837,                0.62889,                0.89606,                0.70155,                 1.0523,                 1.2445,                  1.179,             0.00065091,             0.00065091,             0.00065091
                     57,                0.83131,                0.91523,                 1.0339,                0.95837,                0.62889,                0.89606,                0.70155,                 1.0523,                 1.2445,                  1.179,             0.00063676,             0.00063676,             0.00063676
                     58,                0.92499,                0.90332,                 1.0454,                0.97928,                0.62457,                 0.9127,                0.69701,                 1.0219,                 1.2634,                 1.1789,             0.00062262,             0.00062262,             0.00062262
                     59,                0.84322,                0.91606,                 1.0324,                0.97928,                0.62457,                 0.9127,                0.69701,                 1.0219,                 1.2634,                 1.1789,             0.00060847,             0.00060847,             0.00060847
                     60,                 0.8338,                0.90857,                 1.0561,                 0.7061,                0.84763,                0.94778,                 0.6896,                 1.0414,                 1.1713,                 1.1744,             0.00059432,             0.00059432,             0.00059432
                     61,                0.80915,                0.85259,                 1.0309,                 0.7061,                0.84763,                0.94778,                 0.6896,                 1.0414,                 1.1713,                 1.1744,             0.00058017,             0.00058017,             0.00058017
                     62,                 0.9233,                0.93987,                 1.0753,                0.74828,                  0.926,                0.97278,                0.69406,                 1.0172,                 1.0093,                   1.13,             0.00056603,             0.00056603,             0.00056603
                     63,                0.89814,                0.92772,                 1.0665,                0.74828,                  0.926,                0.97278,                0.69406,                 1.0172,                 1.0093,                   1.13,             0.00055188,             0.00055188,             0.00055188
                     64,                0.86951,                0.88752,                 1.0466,                0.83434,                0.93333,                0.98389,                0.70525,                0.99592,                0.93691,                  1.105,             0.00053773,             0.00053773,             0.00053773
                     65,                0.86188,                 0.9217,                  1.039,                0.83434,                0.93333,                0.98389,                0.70525,                0.99592,                0.93691,                  1.105,             0.00052359,             0.00052359,             0.00052359
                     66,                0.93217,                0.92198,                 1.0704,                0.91524,                0.99707,                  0.995,                0.74965,                0.91513,                0.84747,                  1.053,             0.00050944,             0.00050944,             0.00050944
                     67,                0.87696,                0.87069,                 1.0324,                0.91524,                0.99707,                  0.995,                0.74965,                0.91513,                0.84747,                  1.053,             0.00049529,             0.00049529,             0.00049529
                     68,                 0.8315,                0.83995,                 1.0174,                0.88179,                      1,                  0.995,                0.75133,                0.88976,                0.85959,                 1.0434,             0.00048114,             0.00048114,             0.00048114
                     69,                0.85587,                0.86551,                 1.0262,                0.88179,                      1,                  0.995,                0.75133,                0.88976,                0.85959,                 1.0434,               0.000467,               0.000467,               0.000467
                     70,                0.80852,                0.84124,                 1.0585,                0.87434,                      1,                  0.995,                0.74144,                0.88304,                0.85354,                 1.0516,             0.00045285,             0.00045285,             0.00045285
